network_node	genome	Family	Division	Cluster designation
G5_Cl_1	Anaplasma phagocytophilum HZ	Anaplasmataceae	Proteobacteria	Native
G5_Cl_2	Anaplasma phagocytophilum HZ	Anaplasmataceae	Proteobacteria	Alien
G5_Cl_3	Anaplasma phagocytophilum HZ	Anaplasmataceae	Proteobacteria	Native
G5_Cl_4	Anaplasma phagocytophilum HZ	Anaplasmataceae	Proteobacteria	Alien
G5_Cl_5	Anaplasma phagocytophilum HZ	Anaplasmataceae	Proteobacteria	Alien
G5_Cl_6	Anaplasma phagocytophilum HZ	Anaplasmataceae	Proteobacteria	Native
G5_Cl_7	Anaplasma phagocytophilum HZ	Anaplasmataceae	Proteobacteria	Native
G6_Cl_1	Salmonella typhimurium LT2	Enterobacteriaceae	Proteobacteria	Native
G6_Cl_2	Salmonella typhimurium LT2	Enterobacteriaceae	Proteobacteria	Alien
G6_Cl_3	Salmonella typhimurium LT2	Enterobacteriaceae	Proteobacteria	Alien
G6_Cl_4	Salmonella typhimurium LT2	Enterobacteriaceae	Proteobacteria	Alien
G6_Cl_5	Salmonella typhimurium LT2	Enterobacteriaceae	Proteobacteria	Alien
G6_Cl_6	Salmonella typhimurium LT2	Enterobacteriaceae	Proteobacteria	Alien
G6_Cl_7	Salmonella typhimurium LT2	Enterobacteriaceae	Proteobacteria	Alien
G6_Cl_8	Salmonella typhimurium LT2	Enterobacteriaceae	Proteobacteria	Alien
G6_Cl_9	Salmonella typhimurium LT2	Enterobacteriaceae	Proteobacteria	Alien
G6_Cl_10	Salmonella typhimurium LT2	Enterobacteriaceae	Proteobacteria	Alien
G6_Cl_11	Salmonella typhimurium LT2	Enterobacteriaceae	Proteobacteria	Alien
G6_Cl_12	Salmonella typhimurium LT2	Enterobacteriaceae	Proteobacteria	Alien
G6_Cl_13	Salmonella typhimurium LT2	Enterobacteriaceae	Proteobacteria	Alien
G6_Cl_14	Salmonella typhimurium LT2	Enterobacteriaceae	Proteobacteria	Alien
G6_Cl_15	Salmonella typhimurium LT2	Enterobacteriaceae	Proteobacteria	Alien
G6_Cl_16	Salmonella typhimurium LT2	Enterobacteriaceae	Proteobacteria	Alien
G7_Cl_1	Acidiphilium cryptum JF-5	Acetobacteraceae	Proteobacteria	Native
G7_Cl_2	Acidiphilium cryptum JF-5	Acetobacteraceae	Proteobacteria	Alien
G7_Cl_3	Acidiphilium cryptum JF-5	Acetobacteraceae	Proteobacteria	Alien
G7_Cl_4	Acidiphilium cryptum JF-5	Acetobacteraceae	Proteobacteria	Alien
G7_Cl_5	Acidiphilium cryptum JF-5	Acetobacteraceae	Proteobacteria	Native
G7_Cl_6	Acidiphilium cryptum JF-5	Acetobacteraceae	Proteobacteria	Native
G7_Cl_7	Acidiphilium cryptum JF-5	Acetobacteraceae	Proteobacteria	Native
G7_Cl_8	Acidiphilium cryptum JF-5	Acetobacteraceae	Proteobacteria	Alien
G7_Cl_9	Acidiphilium cryptum JF-5	Acetobacteraceae	Proteobacteria	Alien
G7_Cl_10	Acidiphilium cryptum JF-5	Acetobacteraceae	Proteobacteria	Alien
G7_Cl_11	Acidiphilium cryptum JF-5	Acetobacteraceae	Proteobacteria	Native
G7_Cl_12	Acidiphilium cryptum JF-5	Acetobacteraceae	Proteobacteria	Alien
G7_Cl_13	Acidiphilium cryptum JF-5	Acetobacteraceae	Proteobacteria	Alien
G7_Cl_14	Acidiphilium cryptum JF-5	Acetobacteraceae	Proteobacteria	Alien
G7_Cl_15	Acidiphilium cryptum JF-5	Acetobacteraceae	Proteobacteria	Native
G8_Cl_1	Acidobacteria bacterium Ellin345	Acidobacteriaceae	Acidobacteria	Native
G8_Cl_2	Acidobacteria bacterium Ellin345	Acidobacteriaceae	Acidobacteria	Alien
G8_Cl_3	Acidobacteria bacterium Ellin345	Acidobacteriaceae	Acidobacteria	Alien
G8_Cl_4	Acidobacteria bacterium Ellin345	Acidobacteriaceae	Acidobacteria	Alien
G8_Cl_5	Acidobacteria bacterium Ellin345	Acidobacteriaceae	Acidobacteria	Alien
G8_Cl_6	Acidobacteria bacterium Ellin345	Acidobacteriaceae	Acidobacteria	Alien
G8_Cl_7	Acidobacteria bacterium Ellin345	Acidobacteriaceae	Acidobacteria	Alien
G8_Cl_8	Acidobacteria bacterium Ellin345	Acidobacteriaceae	Acidobacteria	Alien
G8_Cl_9	Acidobacteria bacterium Ellin345	Acidobacteriaceae	Acidobacteria	Alien
G8_Cl_10	Acidobacteria bacterium Ellin345	Acidobacteriaceae	Acidobacteria	Alien
G9_Cl_1	Acidothermus cellulolyticus 11B	Acidothermaceae	Actinobacteria	Native
G9_Cl_2	Acidothermus cellulolyticus 11B	Acidothermaceae	Actinobacteria	Alien
G9_Cl_3	Acidothermus cellulolyticus 11B	Acidothermaceae	Actinobacteria	Alien
G9_Cl_4	Acidothermus cellulolyticus 11B	Acidothermaceae	Actinobacteria	Alien
G10_Cl_1	Acidovorax sp. JS42	Comamonadaceae	Proteobacteria	Native
G10_Cl_2	Acidovorax sp. JS42	Comamonadaceae	Proteobacteria	Alien
G10_Cl_3	Acidovorax sp. JS42	Comamonadaceae	Proteobacteria	Alien
G10_Cl_4	Acidovorax sp. JS42	Comamonadaceae	Proteobacteria	Alien
G10_Cl_5	Acidovorax sp. JS42	Comamonadaceae	Proteobacteria	Alien
G10_Cl_6	Acidovorax sp. JS42	Comamonadaceae	Proteobacteria	Native
G10_Cl_7	Acidovorax sp. JS42	Comamonadaceae	Proteobacteria	Alien
G10_Cl_8	Acidovorax sp. JS42	Comamonadaceae	Proteobacteria	Alien
G10_Cl_9	Acidovorax sp. JS42	Comamonadaceae	Proteobacteria	Native
G10_Cl_10	Acidovorax sp. JS42	Comamonadaceae	Proteobacteria	Native
G10_Cl_11	Acidovorax sp. JS42	Comamonadaceae	Proteobacteria	Alien
G10_Cl_12	Acidovorax sp. JS42	Comamonadaceae	Proteobacteria	Alien
G10_Cl_13	Acidovorax sp. JS42	Comamonadaceae	Proteobacteria	Alien
G10_Cl_14	Acidovorax sp. JS42	Comamonadaceae	Proteobacteria	Native
G11_Cl_1	Acidovorax avenae subsp. citrulli AAC00-1	Comamonadaceae	Proteobacteria	Native
G11_Cl_2	Acidovorax avenae subsp. citrulli AAC00-1	Comamonadaceae	Proteobacteria	Alien
G11_Cl_3	Acidovorax avenae subsp. citrulli AAC00-1	Comamonadaceae	Proteobacteria	Alien
G11_Cl_4	Acidovorax avenae subsp. citrulli AAC00-1	Comamonadaceae	Proteobacteria	Alien
G11_Cl_5	Acidovorax avenae subsp. citrulli AAC00-1	Comamonadaceae	Proteobacteria	Alien
G11_Cl_6	Acidovorax avenae subsp. citrulli AAC00-1	Comamonadaceae	Proteobacteria	Native
G11_Cl_7	Acidovorax avenae subsp. citrulli AAC00-1	Comamonadaceae	Proteobacteria	Alien
G11_Cl_8	Acidovorax avenae subsp. citrulli AAC00-1	Comamonadaceae	Proteobacteria	Alien
G11_Cl_9	Acidovorax avenae subsp. citrulli AAC00-1	Comamonadaceae	Proteobacteria	Alien
G11_Cl_10	Acidovorax avenae subsp. citrulli AAC00-1	Comamonadaceae	Proteobacteria	Alien
G11_Cl_11	Acidovorax avenae subsp. citrulli AAC00-1	Comamonadaceae	Proteobacteria	Alien
G11_Cl_12	Acidovorax avenae subsp. citrulli AAC00-1	Comamonadaceae	Proteobacteria	Alien
G11_Cl_13	Acidovorax avenae subsp. citrulli AAC00-1	Comamonadaceae	Proteobacteria	Native
G11_Cl_14	Acidovorax avenae subsp. citrulli AAC00-1	Comamonadaceae	Proteobacteria	Native
G12_Cl_1	Acinetobacter baumannii ATCC 17978	Moraxellaceae	Proteobacteria	Native
G12_Cl_2	Acinetobacter baumannii ATCC 17978	Moraxellaceae	Proteobacteria	Native
G12_Cl_3	Acinetobacter baumannii ATCC 17978	Moraxellaceae	Proteobacteria	Alien
G12_Cl_4	Acinetobacter baumannii ATCC 17978	Moraxellaceae	Proteobacteria	Native
G12_Cl_5	Acinetobacter baumannii ATCC 17978	Moraxellaceae	Proteobacteria	Alien
G12_Cl_6	Acinetobacter baumannii ATCC 17978	Moraxellaceae	Proteobacteria	Alien
G12_Cl_7	Acinetobacter baumannii ATCC 17978	Moraxellaceae	Proteobacteria	Native
G12_Cl_8	Acinetobacter baumannii ATCC 17978	Moraxellaceae	Proteobacteria	Native
G12_Cl_9	Acinetobacter baumannii ATCC 17978	Moraxellaceae	Proteobacteria	Native
G13_Cl_1	Acinetobacter sp. ADP1	Moraxellaceae	Proteobacteria	Native
G13_Cl_2	Acinetobacter sp. ADP1	Moraxellaceae	Proteobacteria	Alien
G13_Cl_3	Acinetobacter sp. ADP1	Moraxellaceae	Proteobacteria	Native
G13_Cl_4	Acinetobacter sp. ADP1	Moraxellaceae	Proteobacteria	Native
G13_Cl_5	Acinetobacter sp. ADP1	Moraxellaceae	Proteobacteria	Native
G13_Cl_6	Acinetobacter sp. ADP1	Moraxellaceae	Proteobacteria	Native
G13_Cl_7	Acinetobacter sp. ADP1	Moraxellaceae	Proteobacteria	Alien
G13_Cl_8	Acinetobacter sp. ADP1	Moraxellaceae	Proteobacteria	Alien
G13_Cl_9	Acinetobacter sp. ADP1	Moraxellaceae	Proteobacteria	Native
G13_Cl_10	Acinetobacter sp. ADP1	Moraxellaceae	Proteobacteria	Alien
G14_Cl_1	Actinobacillus pleuropneumoniae L20	Pasteurellaceae	Proteobacteria	Native
G14_Cl_2	Actinobacillus pleuropneumoniae L20	Pasteurellaceae	Proteobacteria	Native
G14_Cl_3	Actinobacillus pleuropneumoniae L20	Pasteurellaceae	Proteobacteria	Alien
G14_Cl_4	Actinobacillus pleuropneumoniae L20	Pasteurellaceae	Proteobacteria	Native
G14_Cl_5	Actinobacillus pleuropneumoniae L20	Pasteurellaceae	Proteobacteria	Alien
G14_Cl_6	Actinobacillus pleuropneumoniae L20	Pasteurellaceae	Proteobacteria	Alien
G15_Cl_1	Actinobacillus succinogenes 130Z	Pasteurellaceae	Proteobacteria	Native
G15_Cl_2	Actinobacillus succinogenes 130Z	Pasteurellaceae	Proteobacteria	Alien
G15_Cl_3	Actinobacillus succinogenes 130Z	Pasteurellaceae	Proteobacteria	Alien
G15_Cl_4	Actinobacillus succinogenes 130Z	Pasteurellaceae	Proteobacteria	Native
G15_Cl_5	Actinobacillus succinogenes 130Z	Pasteurellaceae	Proteobacteria	Native
G15_Cl_6	Actinobacillus succinogenes 130Z	Pasteurellaceae	Proteobacteria	Native
G15_Cl_7	Actinobacillus succinogenes 130Z	Pasteurellaceae	Proteobacteria	Alien
G15_Cl_8	Actinobacillus succinogenes 130Z	Pasteurellaceae	Proteobacteria	Alien
G15_Cl_9	Actinobacillus succinogenes 130Z	Pasteurellaceae	Proteobacteria	Alien
G16_Cl_1	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonadaceae	Proteobacteria	Native
G16_Cl_2	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonadaceae	Proteobacteria	Native
G16_Cl_3	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonadaceae	Proteobacteria	Alien
G16_Cl_4	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonadaceae	Proteobacteria	Native
G16_Cl_5	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonadaceae	Proteobacteria	Alien
G16_Cl_6	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonadaceae	Proteobacteria	Alien
G16_Cl_7	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonadaceae	Proteobacteria	Native
G16_Cl_8	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonadaceae	Proteobacteria	Alien
G16_Cl_9	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonadaceae	Proteobacteria	Native
G16_Cl_10	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonadaceae	Proteobacteria	Alien
G16_Cl_11	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonadaceae	Proteobacteria	Alien
G16_Cl_12	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonadaceae	Proteobacteria	Native
G16_Cl_13	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonadaceae	Proteobacteria	Native
G16_Cl_14	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonadaceae	Proteobacteria	Alien
G17_Cl_1	Aeromonas salmonicida subsp. salmonicida A449	Aeromonadaceae	Proteobacteria	Native
G17_Cl_2	Aeromonas salmonicida subsp. salmonicida A449	Aeromonadaceae	Proteobacteria	Alien
G17_Cl_3	Aeromonas salmonicida subsp. salmonicida A449	Aeromonadaceae	Proteobacteria	Native
G17_Cl_4	Aeromonas salmonicida subsp. salmonicida A449	Aeromonadaceae	Proteobacteria	Alien
G17_Cl_5	Aeromonas salmonicida subsp. salmonicida A449	Aeromonadaceae	Proteobacteria	Native
G17_Cl_6	Aeromonas salmonicida subsp. salmonicida A449	Aeromonadaceae	Proteobacteria	Alien
G17_Cl_7	Aeromonas salmonicida subsp. salmonicida A449	Aeromonadaceae	Proteobacteria	Native
G17_Cl_8	Aeromonas salmonicida subsp. salmonicida A449	Aeromonadaceae	Proteobacteria	Alien
G17_Cl_9	Aeromonas salmonicida subsp. salmonicida A449	Aeromonadaceae	Proteobacteria	Native
G17_Cl_10	Aeromonas salmonicida subsp. salmonicida A449	Aeromonadaceae	Proteobacteria	Native
G17_Cl_11	Aeromonas salmonicida subsp. salmonicida A449	Aeromonadaceae	Proteobacteria	Native
G18_Cl_1	Aeropyrum pernix K1	Desulfurococcaceae	Crenarchaeota	Native
G18_Cl_2	Aeropyrum pernix K1	Desulfurococcaceae	Crenarchaeota	Native
G18_Cl_3	Aeropyrum pernix K1	Desulfurococcaceae	Crenarchaeota	Alien
G18_Cl_4	Aeropyrum pernix K1	Desulfurococcaceae	Crenarchaeota	Alien
G18_Cl_5	Aeropyrum pernix K1	Desulfurococcaceae	Crenarchaeota	Native
G18_Cl_6	Aeropyrum pernix K1	Desulfurococcaceae	Crenarchaeota	Alien
G18_Cl_7	Aeropyrum pernix K1	Desulfurococcaceae	Crenarchaeota	Alien
G19_Cl_1	Agrobacterium tumefaciens str. C58	Rhizobiaceae	Proteobacteria	Native
G19_Cl_2	Agrobacterium tumefaciens str. C58	Rhizobiaceae	Proteobacteria	Alien
G19_Cl_3	Agrobacterium tumefaciens str. C58	Rhizobiaceae	Proteobacteria	Alien
G19_Cl_4	Agrobacterium tumefaciens str. C58	Rhizobiaceae	Proteobacteria	Alien
G19_Cl_5	Agrobacterium tumefaciens str. C58	Rhizobiaceae	Proteobacteria	Alien
G20_Cl_1	Agrobacterium tumefaciens str. C58	Rhizobiaceae	Proteobacteria	Native
G20_Cl_2	Agrobacterium tumefaciens str. C58	Rhizobiaceae	Proteobacteria	Alien
G20_Cl_3	Agrobacterium tumefaciens str. C58	Rhizobiaceae	Proteobacteria	Alien
G20_Cl_4	Agrobacterium tumefaciens str. C58	Rhizobiaceae	Proteobacteria	Alien
G20_Cl_5	Agrobacterium tumefaciens str. C58	Rhizobiaceae	Proteobacteria	Alien
G20_Cl_6	Agrobacterium tumefaciens str. C58	Rhizobiaceae	Proteobacteria	Alien
G20_Cl_7	Agrobacterium tumefaciens str. C58	Rhizobiaceae	Proteobacteria	Native
