network_node1	network_node2
G5_Cl_2	G23_Cl_5
G5_Cl_2	G50_Cl_19
G5_Cl_2	G51_Cl_7
G5_Cl_2	G51_Cl_9
G5_Cl_2	G72_Cl_6
G5_Cl_2	G163_Cl_9
G5_Cl_2	G165_Cl_7
G5_Cl_2	G185_Cl_11
G5_Cl_2	G215_Cl_2
G5_Cl_2	G217_Cl_2
G5_Cl_2	G219_Cl_3
G5_Cl_2	G281_Cl_8
G5_Cl_2	G361_Cl_5
G5_Cl_2	G380_Cl_8
G5_Cl_2	G382_Cl_16
G5_Cl_2	G383_Cl_4
G5_Cl_2	G388_Cl_6
G5_Cl_2	G393_Cl_4
G5_Cl_2	G433_Cl_6
G5_Cl_2	G442_Cl_10
G5_Cl_2	G502_Cl_3
G5_Cl_2	G513_Cl_9
G5_Cl_2	G520_Cl_5
G5_Cl_2	G569_Cl_10
G5_Cl_2	G578_Cl_3
G5_Cl_2	G604_Cl_6
G5_Cl_2	G612_Cl_8
G5_Cl_2	G672_Cl_4
G5_Cl_2	G688_Cl_12
G5_Cl_2	G691_Cl_5
G5_Cl_4	G14_Cl_5
G5_Cl_4	G72_Cl_6
G5_Cl_4	G164_Cl_9
G5_Cl_4	G165_Cl_7
G5_Cl_4	G174_Cl_5
G5_Cl_4	G198_Cl_7
G5_Cl_4	G229_Cl_8
G5_Cl_4	G388_Cl_6
G5_Cl_4	G433_Cl_6
G5_Cl_4	G439_Cl_7
G5_Cl_4	G485_Cl_7
G5_Cl_4	G569_Cl_10
G5_Cl_4	G578_Cl_3
G5_Cl_4	G604_Cl_6
G5_Cl_4	G610_Cl_10
G5_Cl_4	G612_Cl_8
G5_Cl_4	G691_Cl_5
G5_Cl_4	G752_Cl_7
G5_Cl_5	G83_Cl_4
G5_Cl_5	G84_Cl_7
G5_Cl_5	G88_Cl_14
G5_Cl_5	G89_Cl_3
G5_Cl_5	G550_Cl_10
G5_Cl_5	G619_Cl_5
G5_Cl_5	G696_Cl_9
G6_Cl_2	G72_Cl_6
G6_Cl_2	G174_Cl_5
G6_Cl_2	G361_Cl_5
G6_Cl_2	G427_Cl_9
G6_Cl_2	G428_Cl_2
G6_Cl_2	G429_Cl_2
G6_Cl_2	G430_Cl_2
G6_Cl_2	G463_Cl_3
G6_Cl_2	G500_Cl_12
G6_Cl_2	G578_Cl_3
G6_Cl_2	G604_Cl_6
G6_Cl_2	G622_Cl_9
G6_Cl_2	G653_Cl_8
G6_Cl_3	G427_Cl_13
G6_Cl_3	G429_Cl_13
G6_Cl_3	G445_Cl_11
G6_Cl_3	G446_Cl_11
G6_Cl_3	G463_Cl_3
G6_Cl_3	G583_Cl_11
G6_Cl_4	G178_Cl_2
G6_Cl_4	G179_Cl_3
G6_Cl_4	G182_Cl_2
G6_Cl_4	G227_Cl_2
G6_Cl_4	G427_Cl_2
G6_Cl_4	G428_Cl_3
G6_Cl_4	G428_Cl_9
G6_Cl_4	G429_Cl_6
G6_Cl_4	G443_Cl_2
G6_Cl_4	G444_Cl_2
G6_Cl_4	G445_Cl_2
G6_Cl_4	G446_Cl_2
G6_Cl_4	G447_Cl_2
G6_Cl_4	G448_Cl_2
G6_Cl_4	G583_Cl_3
G6_Cl_4	G584_Cl_13
G6_Cl_4	G585_Cl_2
G6_Cl_4	G586_Cl_2
G6_Cl_4	G621_Cl_2
G6_Cl_4	G622_Cl_10
G6_Cl_4	G673_Cl_2
G6_Cl_4	G674_Cl_2
G6_Cl_4	G675_Cl_2
G6_Cl_4	G701_Cl_5
G6_Cl_4	G702_Cl_2
G6_Cl_4	G703_Cl_2
G6_Cl_4	G709_Cl_2
G6_Cl_5	G109_Cl_2
G6_Cl_5	G175_Cl_5
G6_Cl_5	G176_Cl_5
G6_Cl_5	G179_Cl_4
G6_Cl_5	G182_Cl_6
G6_Cl_5	G227_Cl_11
G6_Cl_5	G428_Cl_14
G6_Cl_5	G430_Cl_11
G6_Cl_5	G443_Cl_8
G6_Cl_5	G445_Cl_4
G6_Cl_5	G448_Cl_4
G6_Cl_5	G463_Cl_3
G6_Cl_5	G585_Cl_4
G6_Cl_5	G621_Cl_13
G6_Cl_5	G675_Cl_14
G6_Cl_5	G701_Cl_10
G6_Cl_6	G58_Cl_11
G6_Cl_6	G60_Cl_8
G6_Cl_6	G72_Cl_6
G6_Cl_6	G128_Cl_4
G6_Cl_6	G164_Cl_9
G6_Cl_6	G165_Cl_7
G6_Cl_6	G174_Cl_5
G6_Cl_6	G175_Cl_3
G6_Cl_6	G178_Cl_9
G6_Cl_6	G179_Cl_14
G6_Cl_6	G181_Cl_4
G6_Cl_6	G197_Cl_9
G6_Cl_6	G199_Cl_11
G6_Cl_6	G227_Cl_6
G6_Cl_6	G227_Cl_14
G6_Cl_6	G229_Cl_8
